date,block,population,plant,wet_wgt,petal_flower,length,area,dry_wgt,water_mg,water_%,
7/5/25,3,Cojo,8,0.01547,petal,,,0.00203,0.01344,87%,
7/5/25,3,Cojo,9,0.00807,petal,,,0.00097,0.0071,88%,
7/5/25,3,Cojo,10,0.00858,petal,,,0.001,0.00758,88%,
7/5/25,3,Cojo,11,0.01809,petal,,,0.00266,0.01543,85%,
7/5/25,3,Cojo,12,0.02053,petal,,,0.00295,0.01758,86%,
7/5/25,3,Cojo,13,0.00875,petal,,,0.00132,0.00743,85%,
7/5/25,3,Cojo,14,0.00956,petal,,,0.0015,0.00806,84%,
7/5/25,3,Cojo,15,0.01641,petal,,,0.00201,0.0144,88%,
7/5/25,3,Perry,1,0.01096,petal,,,0.00099,0.00997,91%,
7/5/25,3,Perry,2,0.01389,petal,,,0.00172,0.01217,88%,
7/5/25,3,Perry,3,0.01712,petal,,,0.00188,0.01524,89%,
7/5/25,3,Perry,4,0.00994,petal,,,0.00155,0.00839,84%,
7/5/25,3,Perry,5,0.00778,petal,,,0.00122,0.00656,84%,
7/5/25,3,Perry,6,0.00542,petal,,,0.00029,0.00513,95%,
7/5/25,3,Perry,7,0.00801,petal,,,0.00096,0.00705,88%,
7/5/25,3,Perry,8,0.00527,petal,,,0.00078,0.00449,85%,
7/5/25,3,Perry,9,0.00685,petal,,,0.00055,0.0063,92%,
7/5/25,3,Perry,10,0.00797,petal,,,0.00076,0.00721,90%,
7/5/25,3,Perry,11,0.00829,petal,,,0.00075,0.00754,91%,
7/5/25,3,Perry,12,0.01179,petal,,,0.00158,0.01021,87%,
7/5/25,3,Perry,13,0.00829,petal,,,0.00131,0.00698,84%,
7/5/25,3,Perry,14,0.00439,petal,,,0.00039,0.004,91%,
7/5/25,3,Perry,15,0.01028,petal,,,0.00204,0.00824,80%,
5/22/25,2,Cojo,1,0.08142,petal,,,,,,
5/22/25,2,Cojo,2,0.0898,flower,,,,,,
5/22/25,2,Cojo,3,0.11245,flower,,,,,,
5/22/25,2,Cojo,4,0.06603,flower,,,,,,
